Translation,Target
"Eat the leaves of diabetes tree / gynura tree, keep diabetes under control",Misinformation
"No morning or afternoon insulin or tablets, this time your diabetes will be completely controlled by the leaves of a plant rich in foreign medicinal properties",Misinformation
"Removed by Qur'anic practices and Unani and Homeo treatment Insha'Allah. @Physical problems @1. sexual impotence
2. physical weakness
3. Meh- Promeh disease.
4. Diabetes disease.
5. Jaundice.""",Misinformation
"Masturbation leads to premature ejaculation, which hinders fertility and full happiness after marriage.",Misinformation
Masturbation causes regular headaches.,Misinformation
"If you masturbate, memory, intelligence, intelligence and vision disappear.",Misinformation
"Badanjar, black magic does not allow people to get rid of diseases many times, there is a lot of evidence that even after many medical treatments, no disease is diagnosed, and if there is a disease, it is not good to treat it. So, if there is a problem with badanjar, black magic, take it out and then treat it with the advice of a psychiatrist for IBS.",Misinformation
"If you masturbate, your health will deteriorate and become diseased.",Misinformation
"If you masturbate, the number of eggs in the semen will decrease and you will not get a baby for a while.",Misinformation
"Masturbating, fingering or masturbating causes female genital mutilation, loss of virginity and loss of relationship with husband after marriage.",Misinformation
"#message_oil >> Its use increases penile strength, eliminates penile laxity due to masturbation, penile tenderness, strengthens blood vessels, increases penile erection and slowness, making the penile longer and stronger.",Misinformation
"Mucus can't be stopped by taking medicine to stop mucus, herbal naturo will stop mucus and IBS will be better.",Misinformation
"Take homeopathy
pills,
 Gastric ulcer healed. Hardness, chest pain, chest pain.
all day,",Misinformation
IBS is not any disease as per medical science. To maintain the food code is enough to keep you save from the IBS. Thanks 01712-591008,Misinformation
Sexual power decreases if you take the psychiatric medicine ,Misinformation
Your have Haemorrhoids. Avarist and dardi malam are best purchased from sadhana apothecary and consumed.,Misinformation
"A few days ago...
Excellent in curing diabetes
I made a post about #voit_leaf.
And there were many who wanted to know
#Using_white_leaves_to_eliminate_diabetes
How to do...
Today's post is for them:",Misinformation
"Eliminating All Kinds of Allergies:
For details about Natural Allergy Medicine, visit the link below:
 Natural sexual enhancer
 Prevents premature ejaculation
 All kinds of damage
""To Treat Long-Term Masturbatory Damage",Misinformation
"Retain youth for free.The free food that keeps you young forever and grows new hair: See how to eat…
Unbelievable medicine thankuni leaf!!!""",Misinformation
"
Not only stomach, ulcers, eczema, asthma and other skin diseases are cured by eating Thankuni leaves. Brightness  also increases on the skin.",Misinformation
Thankuni leaves contain Bacoside A and B. Bacoside B helps build brain cells and increases blood circulation. Regular consumption of Thankuni leaves improves memory.,Misinformation
Thankuni leaves helps keep the nervous system active,Misinformation
Dead cells often cause dry crusts on the skin. becomes rough. Thankuni leaf juice regenerates the dead cells and smoothens the skin,Misinformation
"If old wounds do not heal with any medicine, thankuni leaves boiled and applied with its water heals. Applying Thankuni leaves on fresh wounds heals the wounds.",Misinformation
"If you have bleeding gums or toothache, boil Thankuni leaves in a large bowl, then strain and gargle with that water for quick relief.",Misinformation
"If the skin is pale or the sweetness is reduced, then 5-6 teaspoons of Thankuni leaf juice should be taken with milk. You will get benefits if you do it regularly. Regular consumption of Thankuni leaf juice increases the freshness of the skin.",Misinformation
"In case of hair fall due to lack of nutrition, lack of vitamins, 5-6 teaspoons of Thankuni leaf juice should be mixed with milk along with nutritious vitamin rich food.",Misinformation
"
To increase memory, mix half a cup of milk, juice of 2-3 leaves of Thankuni leaves and a teaspoon of honey.",Misinformation
"
1 poa mishri and half poa thankuni leaf juice mixed together in half kg milk and consumed every morning for 1 week improves gastric",Misinformation
"
In fever and dysentery, the juice of Thankuni leaves is heated and strained. is helpful",Misinformation
"Every morning 1 spoon of Thankuni juice, 5/6 drops of turmeric juice (for liver problems in children) with little sugar and honey for 1 month will cure liver problems.",Misinformation
"Besides, in cold-cough, one tablespoon of Thankuni juice mixed with honey cures cold cough. Those with weak nervous system eat Thankuni leaves regularly to increase memory power.",Misinformation
COVID-19 vaccination rarely causes neurologic symptoms.,Valid Information
A diabetic may need insulin treatment at any point in their life.,Valid Information
How to protect a child if someone has conjunctivitis-Do not touch infected eyes.,Valid Information
How to protect a child if someone has conjunctivitis-wash uour hand in frequent intervals ,Valid Information
How to protect a child if someone has conjunctivitis-Do not let others use your towels and toiletries.,Valid Information
How to protect a child if someone has conjunctivitis-Isolation of affected Person for 1 to 2 weeks.,Valid Information
These eight habits seriously damage your brain—being in the dark too much,Valid Information
"These eight habits seriously damage your brain-watching, reading excessive negative news",Valid Information
"
These eight habits seriously damage your brain - listening to loud music or being exposed to noise pollution",Valid Information
These eight habits seriously damage your brain—besides being alone too much,Valid Information
These eight habits are seriously damaging your brain—too much screen time,Valid Information
These eight habits are seriously damaging your brain—consuming more sugar than you need,Valid Information
These eight habits seriously damage your brain—lack of exercise,Valid Information
These eight habits seriously damage your brain—less sleep,Valid Information
What to do if you have dengue - Take complete rest.,Valid Information
"What to do if you have dengue - take plenty of liquid food. Drink canned water, lemon juice, fruit juice, and saline sparingly.",Valid Information
"
Paracetamol can be taken in case of dengue fever. An adult of normal weight can take a maximum of eight paracetamol per day. But if a Person has liver, heart and kidney-related complications, then a doctor must be consulted before consuming paracetamol.",Valid Information
"Aspirin, Clofenac, Ibuprofen-like medicines should not be taken for body pain when suffering from dengue fever.",Valid Information
Eating papaya leaf juice will kill dengue,Misinformation
All that can be done to protect the health of the mouth - betel leaves should be avoided,Valid Information
"What to do to protect oral health -
No smoking
",Valid Information
"What to do to protect oral health -
Cannot drink alcohol
",Valid Information
"The dengue virus is the source of dengue fever, a mosquito-transmitted tropical disease. Fever, headaches, muscle and joint aches, and a distinctive skin rash resembling measles are among the symptoms. Patients with the disease's severest variation, known as dengue hemorrhagic fever, experience internal and subcutaneous bleeding.",Valid Information
 People are advised to drink clean water and avoid street food to stay safe from diarrhoea.,Valid Information
"Intramuscular injections have been shown to be ineffective in controlling cholera. Again, the effectiveness of eating saline has also been proven in Matlab. There is significant research on controlling diarrhea using zinc or zinc. The significant success Bangladesh has shown in population control is the direction of research done in Matlab.",Valid Information
Doctors say that a part of the diarrhea patients are cholera patients.,Valid Information
Dengue fever itself can become fatal if not treated in time and hence anyone with heart disease should seek medical advice as soon as possible.,Valid Information
"
How to prevent stroke - To prevent stroke, blood fat should be reduced.",Valid Information
How to prevent stroke - control weight.,Valid Information
"How to prevent stroke - Eat less sugary and fatty foods and eat more vegetables, fruits and salads.",Valid Information
How to prevent stroke - Elderly people should avoid beef or mutton.,Valid Information
How to prevent stroke - 30-40 minutes of sweaty walking every day.,Valid Information
"
How to prevent stroke - If you have a habit of smoking and alcohol, it should be eliminated.",Valid Information
"Hygiene is quite short now. Risk can be reduced only by keeping in mind the mask and social distancing. Yet those who are disobeying the rules, they are not respectful to others at all. They don't care about others loss. This is a terrible trend!",Valid Information
It is better not to take the Indian vaccine made of cow dung,Misinformation
"As much as I have gained knowledge about Corona by talking to them, Corona is a common flu or influenza (seasonal fever, cold, cold) pack, but nothing more. Got to know the same thing after the interview of Doctor Mohammad Asaduzzaman, led by ICU of Kuwait Maitri Government Hospital. He is also saying- ""Covid-19 is but a disease like normal influenza or flu.",Valid Information
"Good news, Wuhan's corona virus can be cured by one bowl of freshly boiled garlic water.
Old Chinese doctor has proven it's efficacy. ",Misinformation
Allow more and more homosexuality so there will be no more monkeypox.,Misinformation
"Monkeypox, Omicron, Delmicron, Florona, Ehu, Nyokov, BA. 2, BA. To prevent the spread of 5, get vaccinated, wear mask, maintain social and physical distance and raise public awareness.",Valid Information
" Doctors are saying, the idea that someone dies of poisoning by drinking pineapple and milk together is wrong. These are some kind of food tabs or food prejudice.",Valid Information
Many smallpox vaccination programs were underway from 1970 to 1990 to end the disease. Then it was appeared that the vaccination would have had some protection against the monkeypox. Monkeypox has come out in some places since Smallpox has been extinct.,Valid Information
"Vaccination provides very little protection, nothing more than immunity
",Misinformation
I fainted after taking the asterzeneca vaccine,Misinformation
People are used as guinea pigs for vaccines ,Misinformation
